,ID,song1,song2,song3,song4,song5
0,0,18333,24672,1946,22785,10031
1,1,19570,601,41373,24210,46817
2,2,3790,33367,18912,28558,26491
3,3,24162,12968,5181,4,16113
4,4,24162,12968,5181,3,16113
5,5,21026,23368,12040,14381,44242
6,6,10662,27254,9751,24022,57021
7,7,27026,19697,30921,9962,23535
8,8,52254,40385,48119,49969,39500
9,9,17535,523,14253,42487,34753
10,10,48197,38313,15259,43577,12101
11,11,74,34036,40982,8136,50586
12,12,27641,23358,54469,23188,1946
13,13,27655,45128,41830,41484,55370
14,14,17768,9239,40560,23955,25632
15,15,42865,20373,28311,17678,52462
16,16,38958,1096,42771,9633,3943
17,17,47172,18759,26745,7437,7643
18,18,42063,32900,57620,12141,31157
19,19,47723,22721,,,
20,20,41359,23788,31686,39815,1336
21,21,51,23132,37212,14973,42542
22,22,35885,10908,39238,32145,5276
23,23,34136,33059,14682,44668,1344
24,24,9221,51332,41841,17380,4858
25,25,27267,26449,38366,924,8229
26,26,12966,44885,2898,14720,52081
27,27,4556,16240,26138,19593,55260
28,28,56654,30686,1084,46356,13467
29,29,28311,44487,45763,57561,890
30,30,51651,39605,50909,20342,18497
31,31,13489,20825,15567,40075,41421
32,32,47230,27346,41064,51428,16393
33,33,22049,19157,38217,50552,42325
34,34,30589,53749,42441,17497,52892
35,35,23549,31294,55495,23977,2469
36,36,28615,53121,27268,20649,27270
37,37,51032,55986,29419,6906,46651
38,38,36250,43423,48101,8037,28653
39,39,14347,31804,38923,50829,21351
40,40,16847,19650,20234,41,55034
41,41,53365,54831,39429,40,19650
42,42,31499,27701,44045,19430,21698
43,43,7046,54504,53256,1416,46894
44,44,57221,47436,50824,19922,428
45,45,10288,10568,52971,30921,37563
46,46,46270,42669,14633,52107,22712
47,47,6349,22922,56759,9252,26915
48,48,50120,54415,26952,6318,54476
49,49,47343,17569,56213,36094,41712
50,50,31740,40845,39629,20355,7688
51,51,21,42542,52824,56538,56671
52,52,4786,22237,12398,56017,56729
53,53,13803,7187,48524,48682,40577
54,54,51848,50075,52304,2024,53785
55,55,19386,52888,978,27634,40274
56,56,41162,42517,37488,37622,42833
57,57,3716,28848,41563,49014,19472
58,58,13818,30860,55312,19691,26453
59,59,7046,53256,150,46894,1416
60,60,27274,54852,28608,2223,255
61,61,30607,42931,50973,12841,22477
62,62,23160,10972,21497,15308,11672
63,63,42945,43131,46814,38277,1418
64,64,41972,52700,41935,13274,24403
65,65,3837,26040,13618,30662,26690
66,66,26473,8862,26472,31225,28522
67,67,10694,54914,12192,37643,32431
68,68,339,7657,27067,22462,38650
69,69,48304,57437,16953,51601,47559
70,70,56454,50303,23914,26548,21514
71,71,15993,34702,53871,32638,27004
72,72,2666,40387,17189,22898,34646
73,73,11725,36087,42369,10941,5204
74,74,47894,11,34036,40982,50586
75,75,27160,44590,41707,42648,13164
76,76,9635,54066,31082,18062,11012
77,77,53341,21374,29658,6892,20450
78,78,4012,40393,30170,3876,21019
79,79,15249,20670,11721,36441,50750
80,80,33173,5295,50179,15866,33980
81,81,21628,51339,10192,46855,26063
82,82,15044,36283,26542,18040,52524
83,83,21864,5306,18913,4552,104
84,84,35353,38315,22057,30031,54612
85,85,26730,18618,24883,9728,41196
86,86,55316,19725,19840,28596,54499
87,87,12225,8524,50852,52042,53528
88,88,50722,89,13896,12371,57646
89,89,5300,13896,12371,88,57646
90,90,30617,4033,36274,52163,50746
91,91,26732,4542,18940,11254,36431
92,92,50189,3157,28752,52533,28749
93,93,30710,15305,36227,1260,53503
94,94,3381,50454,55366,24436,11717
95,95,16287,18746,23712,26353,24662
96,96,10415,31687,47750,4219,23918
97,97,1831,22074,49563,11260,27765
98,98,51121,11270,1110,13318,27166
99,99,14712,2082,24021,24920,57146
100,100,14259,24570,44471,10077,4827
101,101,28908,25246,25704,14441,49542
102,102,27160,10,22833,43485,4664
103,103,10653,19672,985,21738,16262
104,104,20867,83,5306,32039,2919
105,105,18705,21017,26877,26327,37676
106,106,752,27067,17425,56202,5441
107,107,31690,16658,13491,35511,34471
108,108,22762,30316,7974,48400,45895
109,109,3657,49813,29715,43235,33190
110,110,27143,39494,18211,25272,21401
111,111,22258,4177,40811,20789,16873
112,112,35403,10662,27254,24022,57021
113,113,26109,38058,32355,5243,20936
114,114,48025,194,41824,53941,39595
115,115,47552,957,33962,19544,35418
116,116,21303,9880,21789,13173,6456
117,117,23663,22229,15653,2744,35765
118,118,576,41562,10731,20754,26464
119,119,19014,57307,16750,45440,28502
120,120,8726,38503,17791,4769,33469
121,121,8719,32807,18876,22114,32772
122,122,49126,31998,37747,27950,35463
123,123,19112,44102,13175,8593,11357
124,124,48004,42551,38677,11466,35645
125,125,6897,35001,36788,42347,28817
126,126,2780,54546,16870,34995,29329
127,127,53427,50848,33120,54451,23688
128,128,26182,46328,56503,21865,21531
129,129,42854,24929,20059,57439,30490
130,130,54147,26878,28608,4547,55230
